Name,Threads,Optimization,Time,N
var714_parallel,120,O3,1.046263,2048
var714_parallel,120,Ofast,1.194415,2048
var714_parallel,120,O2,0.940934,2048
var714_parallel,120,O1,1.099712,2048
var714_parallel,140,O2,1.047998,2048
var714_parallel,140,O1,1.206336,2048
var714_parallel,140,O0,1.532154,2048
var714_parallel,140,O3,1.168322,2048
var714_parallel,140,Ofast,1.060662,2048
var714_parallel_task,1,O0,20.734083,2048
var714_parallel_task,1,Ofast,5.228286,2048
var714_parallel_task,1,O1,17.009753,2048
var714_parallel_task,1,O2,16.882497,2048
var714_parallel_task,1,O3,11.870248,2048
var714_parallel_task,2,O1,8.675118,2048
var714_parallel_task,2,O3,6.157641,2048
var714_parallel_task,2,O2,8.620078,2048
var714_parallel_task,2,O0,10.813293,2048
var714_parallel_task,2,Ofast,2.882386,2048
var714_parallel_task,3,Ofast,3.080640,2048
var714_parallel_task,3,O3,5.340588,2048
var714_parallel_task,3,O0,8.995463,2048
var714_parallel_task,3,O1,6.730600,2048
var714_parallel_task,3,O2,6.771957,2048
var714_parallel_task,4,O1,5.282744,2048
var714_parallel_task,4,O0,7.436584,2048
var714_parallel_task,4,O3,4.331298,2048
var714_parallel_task,4,Ofast,2.623365,2048
var714_parallel_task,4,O2,5.281336,2048
var714_parallel_task,5,O1,4.412003,2048
var714_parallel_task,5,O0,6.460255,2048
var714_parallel_task,5,O3,3.735057,2048
var714_parallel_task,5,O2,4.482305,2048
var714_parallel_task,5,Ofast,2.476512,2048
var714_parallel_task,6,O1,3.879999,2048
var714_parallel_task,6,O0,5.775905,2048
var714_parallel_task,6,O3,3.314840,2048
var714_parallel_task,6,O2,3.960936,2048
var714_parallel_task,6,Ofast,2.210905,2048
var714_parallel_task,7,O0,5.381918,2048
var714_parallel_task,7,O1,3.613896,2048
var714_parallel_task,7,O2,3.425871,2048
var714_parallel_task,7,O3,3.243927,2048
var714_parallel_task,7,Ofast,2.059041,2048
var714_parallel_task,8,Ofast,2.108922,2048
var714_parallel_task,8,O3,3.053359,2048
var714_parallel_task,8,O1,3.380833,2048
var714_parallel_task,8,O2,3.538920,2048
var714_parallel_task,8,O0,5.002695,2048
var714_parallel_task,9,O1,3.411205,2048
var714_parallel_task,9,O0,4.646900,2048
